Object Reference,Alarm,Manual,Commissioned,Site,Device Name,Device,Name,Value,Status,Timed_Override_Active
//Benson House/1000.AI102,,1,1,Benson House,LTHWS Controller,1000,Foyer Space Temp,22.0 °C,fault|out-of-service,
//Benson House/1000.AI103,,1,1,Benson House,LTHWS Controller,1000,MixedBlr1_Flow Temp,44.0 °C,out-of-service|private1,
//Benson House/1000.AI104,,,1,Benson House,LTHWS Controller,1000,MixedBlr1_Return Temp,39.8 °C,private1,
//Benson House/1000.AI105,,,1,Benson House,LTHWS Controller,1000,MixedBlr1_System Flow Temp,41.7 °C,private1,
//Benson House/1000.AI1051,,,,Benson House,LTHWS Controller,1000,eBX 1 24V Power,0.0 V,fault|not-commissioned,
//Benson House/1000.AI1052,,,,Benson House,LTHWS Controller,1000,eBX 1 14V Power,0.0 V,fault|not-commissioned,
//Benson House/1000.AI106,,,1,Benson House,LTHWS Controller,1000,Chiller1_Flow Temp,7.6 °C,private1,
//Benson House/1000.AI107,,,1,Benson House,LTHWS Controller,1000,Chiller1_Return Temp,12.2 °C,private1,
//Benson House/1000.AI108,,,1,Benson House,LTHWS Controller,1000,Cooling Tower Return Temp,9.7 °C,private1,
//Benson House/1000.AI83,,,,Benson House,LTHWS Controller,1000,CPU Board Temperature,-55.0 °C,not-commissioned,
//Benson House/1000.AO1101,,,,Benson House,LTHWS Controller,1000,Boiler1_Demand,100%,fault|not-commissioned,
//Benson House/1000.AO1102,,,,Benson House,LTHWS Controller,1000,Boiler2_Demand,0%,fault|not-commissioned,
//Benson House/1000.AO1103,,,,Benson House,LTHWS Controller,1000,Boiler3_Demand,0%,fault|not-commissioned,
//Benson House/1000.AO1104,,,,Benson House,LTHWS Controller,1000,Boiler4_Demand,0%,fault|not-commissioned,
//Benson House/1000.AO1201,,,,Benson House,LTHWS Controller,1000,Boiler5_Demand,0%,fault|not-commissioned,
//Benson House/1000.AS1,,,1,Benson House,LTHWS Controller,1000,Access Control Setup,,,
//Benson House/1000.AV1,,,,Benson House,LTHWS Controller,1000,Fabric Protectiion Setpoint,12.0 °C,,
//Benson House/1000.AV101,,,,Benson House,LTHWS Controller,1000,WCMP_Calculated Flow Temp,25.2 °C,,
//Benson House/1000.AV102,,,,Benson House,LTHWS Controller,1000,WCMP_Flow at 20C OAT,20.0 °C,,
//Benson House/1000.AV103,,,,Benson House,LTHWS Controller,1000,WCMP_Flow at 10C OAT,50.0 °C,,
//Benson House/1000.AV104,,,,Benson House,LTHWS Controller,1000,WCMP_Flow at 0C OAT,80.0 °C,,
//Benson House/1000.AV105,,1,,Benson House,LTHWS Controller,1000,WCMP_Min Flow Temp,20.0 °C,out-of-service,
//Benson House/1000.AV106,,1,,Benson House,LTHWS Controller,1000,WCMP_Max Flow Temp,85.0 °C,out-of-service,
//Benson House/1000.AV107,,1,,Benson House,LTHWS Controller,1000,WCMP_Room Setpoint,20.0 °C,out-of-service,
//Benson House/1000.AV108,,1,,Benson House,LTHWS Controller,1000,WCMP_Valve Deadband,3.0 °C,out-of-service,
//Benson House/1000.AV110,,1,,Benson House,LTHWS Controller,1000,BSEQ_Number of Boilers,3,out-of-service,
//Benson House/1000.AV111,,1,,Benson House,LTHWS Controller,1000,BSEQ_Boiler_SP,65.0 °C,out-of-service,
//Benson House/1000.AV2,,,,Benson House,LTHWS Controller,1000,External Frost Setpoint,4.0 °C,,
//Benson House/1000.AV3,,1,,Benson House,LTHWS Controller,1000,Free Cooling Setpoint,8.0 °C,out-of-service,
//Benson House/1000.BI201,,,1,Benson House,LTHWS Controller,1000,Boiler1_Lockout,Tripped,fault,
//Benson House/1000.BI202,,,1,Benson House,LTHWS Controller,1000,Boiler2_Lockout,OK,fault,
//Benson House/1000.BI203,,,1,Benson House,LTHWS Controller,1000,Boiler3_Lockout,OK,fault,
//Benson House/1000.BI204,,,1,Benson House,LTHWS Controller,1000,Boiler4_Lockout,OK,fault,
//Benson House/1000.BI301,,,1,Benson House,LTHWS Controller,1000,Boiler5_Lockout,OK,fault,
//Benson House/1000.BI302,,,1,Benson House,LTHWS Controller,1000,LTHWS Pump 1 Trip,OK,fault,
//Benson House/1000.BI303,,,1,Benson House,LTHWS Controller,1000,LTHWS Pump 2 Trip,OK,fault,
//Benson House/1000.BI304,,1,1,Benson House,LTHWS Controller,1000,Chiller1_Status,OK,fault|out-of-service,
//Benson House/1000.BI401,,1,1,Benson House,LTHWS Controller,1000,Chiller1_CWS Pump 1 Trip,OK,fault|out-of-service,
//Benson House/1000.BI402,,,1,Benson House,LTHWS Controller,1000,Chiller1_CWS Pump 2 Trip,OK,fault,
//Benson House/1000.BI80,,,,Benson House,LTHWS Controller,1000,Run Clear Button,ON,not-commissioned,
//Benson House/1000.BI81,,,,Benson House,LTHWS Controller,1000,Unused Button,ON,not-commissioned,
//Benson House/1000.BO201,,,1,Benson House,LTHWS Controller,1000,Boiler1_Enable,Disabled,fault|private2,
//Benson House/1000.BO202,,,1,Benson House,LTHWS Controller,1000,Boiler2_Enable,Enabled,fault|private2,
//Benson House/1000.BO203,,,1,Benson House,LTHWS Controller,1000,Boiler3_Enable,Enabled,fault|private2,
//Benson House/1000.BO204,,,1,Benson House,LTHWS Controller,1000,Boiler4_Enable,Disabled,fault|private2,
//Benson House/1000.BO301,,,1,Benson House,LTHWS Controller,1000,Boiler5_Enable,Disabled,fault|private2,
//Benson House/1000.BO302,,,1,Benson House,LTHWS Controller,1000,Mixing Valve Open,Disabled,fault|private2,
//Benson House/1000.BO303,,,1,Benson House,LTHWS Controller,1000,Mixing Valve Close,Disabled,fault|private2,
//Benson House/1000.BO304,,,1,Benson House,LTHWS Controller,1000,Chiller1_Enable,Enabled,fault|private2,
//Benson House/1000.BO401,,,1,Benson House,LTHWS Controller,1000,MixedBlr1_LTHW Pump 1 Enable,Disabled,fault|private2,
//Benson House/1000.BO402,,,1,Benson House,LTHWS Controller,1000,MixedBlr1_LTHW Pump 2 Enable,Enabled,fault|private2,
//Benson House/1000.BO403,,,1,Benson House,LTHWS Controller,1000,Chiller1_CWS Pump 1 Enable,Enabled,fault|private2,
//Benson House/1000.BO404,,,1,Benson House,LTHWS Controller,1000,Chiller1_CWS Pump 2 Enable,Disabled,fault|private2,
//Benson House/1000.BV1,,,,Benson House,LTHWS Controller,1000,MixedBlr1_LTHW Lead Pump,Pump 2,,
//Benson House/1000.BV110,,,,Benson House,LTHWS Controller,1000,BSEQ_Boiler Call,ON,,
//Benson House/1000.BV2,,,,Benson House,LTHWS Controller,1000,Chiller1_CWS Lead Pump,Pump 1,,
//Benson House/1000.CEL1,,,,Benson House,LTHWS Controller,1000,Access Control Event Log,,,
//Benson House/1000.CO110,,,,Benson House,LTHWS Controller,1000,BSEQ_Boilers Control,63.06%,,
//Benson House/1000.DEV1000,,,1,Benson House,LTHWS Controller,1000,LTHWS Controller,Operational,,
//Benson House/1000.EV1,,,,Benson House,LTHWS Controller,1000,Device Reset EV,Normal,,
//Benson House/1000.EV101,,,,Benson House,LTHWS Controller,1000,Boiler Flow Temp,Normal,,
//Benson House/1000.EVL1,,,,Benson House,LTHWS Controller,1000,Access Control Alarm Log,Logging,,
//Benson House/1000.FIL1,,,,Benson House,LTHWS Controller,1000,Database Transfer File,,,
//Benson House/1000.MV110,,,,Benson House,LTHWS Controller,1000,BSEQ_Lead Boiler,Boiler No 1,,
//Benson House/1000.OS1,,,,Benson House,LTHWS Controller,1000,Optimiser,Off,fault,
//Benson House/1000.PG1,,,,Benson House,LTHWS Controller,1000,Main,Running,,
//Benson House/1000.PG101,,,,Benson House,LTHWS Controller,1000,WCMP_Slope Calculation,Running,,
//Benson House/1000.PG102,,,,Benson House,LTHWS Controller,1000,WCMP_Valve Drive,Running,,
//Benson House/1000.PG110,,,,Benson House,LTHWS Controller,1000,BSEQ_Boiler Sequencing,Running,,
//Benson House/1000.PG111,,,,Benson House,LTHWS Controller,1000,aaa,Loading,,
//Benson House/1000.PG2,,,,Benson House,LTHWS Controller,1000,LTHWS Plant Call,Running,,
//Benson House/1000.PG3,,,,Benson House,LTHWS Controller,1000,Simulator,Running,,
//Benson House/1000.SCH1,,,,Benson House,LTHWS Controller,1000,Office Times,On,private2,
//Benson House/1000.SCH110,,,,Benson House,LTHWS Controller,1000,BSEQ_Rotate,Off,,
//Benson House/1000.SUG1,,,,Benson House,LTHWS Controller,1000,Administrator,,,
//Benson House/1000.TL1,,,,Benson House,LTHWS Controller,1000,Boiler Flow Temp TL,Trending,,
//Benson House/1000.TL100,,,,Benson House,LTHWS Controller,1000,l,Trending,fault,
//Benson House/1000.TL2,,,,Benson House,LTHWS Controller,1000,Boiler Return Temp TL,Trending,,
//Benson House/1000.TL3,,,,Benson House,LTHWS Controller,1000,System Flow Temp TL,Trending,,
//Benson House/1000.TL4,,,,Benson House,LTHWS Controller,1000,Chiller1_Flow Temp TL,Trending,,
//Benson House/1000.TL5,,,,Benson House,LTHWS Controller,1000,Chiller1_Return Temp TL,Trending,,
//Benson House/1000.TL6,,,,Benson House,LTHWS Controller,1000,Cooling Tower Return Temp TL,Trending,,
//Benson House/101.AI1,,,1,Benson House,FCU-G01,101,Return Air Temperature Sensor,18.2 °C,private1,
//Benson House/101.AI101,,,1,Benson House,FCU-G01,101,BACstat Temperature Sensor,23.2 °C,private1,
//Benson House/101.AI103,,,1,Benson House,FCU-G01,101,BACstat Humidity Sensor,23.7 %RH,private1,
//Benson House/101.AI104,,,1,Benson House,FCU-G01,101,BACstat CO2 Sensor,909.9 ppm,private1,
//Benson House/101.AI12,,,,Benson House,FCU-G01,101,Light Level,622.6 lx,private1|not-commissioned,
//Benson House/101.AI2,,,1,Benson House,FCU-G01,101,Supply Air Temperature Sensor,15.5 °C,private1,
//Benson House/101.AI3,,,1,Benson House,FCU-G01,101,Room Temperature Sensor,17.6 °C,private1,
//Benson House/101.AI4,,,1,Benson House,FCU-G01,101,Setpoint Potentiometer,0.0 k?,private1,
//Benson House/101.AI5,,,1,Benson House,FCU-G01,101,LPHW Flow Temperature Sensor/Element Cutout,67.3 °C,private1,
//Benson House/101.AI6,,,1,Benson House,FCU-G01,101,LPHW Return Temperature Sensor,65.1 °C,private1,
//Benson House/101.AI7,,,1,Benson House,FCU-G01,101,CHW Flow Temperature Sensor,8.4 °C,private1,
//Benson House/101.AI8,,,1,Benson House,FCU-G01,101,CHW Return Temperature Sensor,8.4 °C,private1,
//Benson House/101.AI9,,,1,Benson House,FCU-G01,101,Mains Current Transducer,1.3550 A,private1,
//Benson House/101.AO10,,,1,Benson House,FCU-G01,101,Fan 4 Speed Signal,45%,,
//Benson House/101.AO7,,,1,Benson House,FCU-G01,101,Fan 1 Speed Signal / EVO Fan Speed Signal,45%,,
//Benson House/101.AO8,,,1,Benson House,FCU-G01,101,Fan 2 Speed Signal,45%,,
//Benson House/101.AO9,,,1,Benson House,FCU-G01,101,Fan 3 Speed Signal,45%,,
//Benson House/101.AT1,,,,Benson House,FCU-G01,101,FCU Power Consumption Totaliser,3575.8 kWh,,
//Benson House/101.AV1,,,,Benson House,FCU-G01,101,Control Temperature,17.6 °C,,
//Benson House/101.AV10,,,,Benson House,FCU-G01,101,Fan 4 Current Air Volume,66.5 L/s,,
//Benson House/101.AV11,,,,Benson House,FCU-G01,101,Operating Setpoint,18.0 °C,,
//Benson House/101.AV12,,,,Benson House,FCU-G01,101,Master Setpoint,21.0 °C,,
//Benson House/101.AV13,,,,Benson House,FCU-G01,101,Overall Fan Speed,70.00%,,
//Benson House/101.AV14,,,,Benson House,FCU-G01,101,Heating Element Output,-2.00%,,
//Benson House/101.AV15,,,,Benson House,FCU-G01,101,Room Relative Humidity,-2.0 %RH,,
//Benson House/101.AV16,,,,Benson House,FCU-G01,101,Room CO2 Level,-2.0 ppm,,
//Benson House/101.AV17,,,,Benson House,FCU-G01,101,Specific Fan Power,1.0 W,,
//Benson House/101.AV18,,,,Benson House,FCU-G01,101,FCU Power Consumption,311.7 W,,
//Benson House/101.AV19,,,,Benson House,FCU-G01,101,Current Thermal Output,-0.8 kW,,
//Benson House/101.AV2,,,,Benson House,FCU-G01,101,Supply Air Temperature,15.5 °C,,
//Benson House/101.AV20,,,,Benson House,FCU-G01,101,Master Alarm Code,6,,
//Benson House/101.AV201,,,,Benson House,FCU-G01,101,FCU Design Total Air Volume,380.0 L/s,,
//Benson House/101.AV202,,,,Benson House,FCU-G01,101,Fan Setback Factor,70.00%,,
//Benson House/101.AV203,,,,Benson House,FCU-G01,101,Heating Valve Design Flow Rate,0.1800 L/s,,
//Benson House/101.AV204,,,,Benson House,FCU-G01,101,Cooling Valve Design Flow Rate,0.0450 L/s,,
//Benson House/101.AV205,,,,Benson House,FCU-G01,101,EVO Fan Voltage for Design Airflow,-2.0 V,,
//Benson House/101.AV206,,,,Benson House,FCU-G01,101,Maximum Allowed Airflow Per Fan,150.0 L/s,,
//Benson House/101.AV207,,,,Benson House,FCU-G01,101,Fan 1 Design Air Volume,95.0 L/s,,
//Benson House/101.AV208,,,,Benson House,FCU-G01,101,Fan 2 Design Air Volume,95.0 L/s,,
//Benson House/101.AV209,,,,Benson House,FCU-G01,101,Fan 3 Design Air Volume,95.0 L/s,,
//Benson House/101.AV210,,,,Benson House,FCU-G01,101,Fan 4 Design Air Volume,95.0 L/s,,
//Benson House/101.AV211,,,,Benson House,FCU-G01,101,Fabric Protection Setpoint,12.0 °C,,
//Benson House/101.AV212,,,,Benson House,FCU-G01,101,PIR Activation Delay,0.5 min,,
//Benson House/101.AV213,,,,Benson House,FCU-G01,101,PIR Inactivation Delay,30.0 min,,
//Benson House/101.AV214,,,,Benson House,FCU-G01,101,Design Heating Duty,4.0 kW,,
//Benson House/101.AV215,,,,Benson House,FCU-G01,101,Design Cooling Duty,4.0 kW,,
//Benson House/101.AV216,,,,Benson House,FCU-G01,101,Minimum Allowed Airflow Per Fan,30.0 L/s,,
//Benson House/101.AV217,,,,Benson House,FCU-G01,101,Fan 1 Setback Air Volume,66.5 L/s,,
//Benson House/101.AV218,,,,Benson House,FCU-G01,101,Fan 2 Setback Air Volume,66.5 L/s,,
//Benson House/101.AV219,,,,Benson House,FCU-G01,101,Fan 3 Setback Air Volume,66.5 L/s,,
//Benson House/101.AV220,,,,Benson House,FCU-G01,101,Fan 4 Setback Air Volume,66.5 L/s,,
//Benson House/101.AV227,,,,Benson House,FCU-G01,101,Fan 1 Trim,100.00%,,
//Benson House/101.AV228,,,,Benson House,FCU-G01,101,Fan 2 Trim,100.00%,,
//Benson House/101.AV229,,,,Benson House,FCU-G01,101,Fan 3 Trim,100.00%,,
//Benson House/101.AV230,,,,Benson House,FCU-G01,101,Fan 4 Trim,100.00%,,
//Benson House/101.AV231,,,,Benson House,FCU-G01,101,Control Temperature Sensor Offset,0.0 °C,,
//Benson House/101.AV232,,,,Benson House,FCU-G01,101,Supply Air Temperature Sensor Offset,0.0 °C,,
//Benson House/101.AV233,,,,Benson House,FCU-G01,101,Heating Valve Trim,100.00%,,
//Benson House/101.AV234,,,,Benson House,FCU-G01,101,Cooling Valve Trim,100.00%,,
//Benson House/101.AV235,,,,Benson House,FCU-G01,101,Heating Branch Trim,100.00%,,
//Benson House/101.AV236,,,,Benson House,FCU-G01,101,Cooling Branch Trim,100.00%,,
//Benson House/101.AV246,,,,Benson House,FCU-G01,101,Supply Air High Limit,26.5 °C,,
//Benson House/101.AV248,,,,Benson House,FCU-G01,101,Supply Air Low Limit,12.0 °C,,
//Benson House/101.AV250,,,,Benson House,FCU-G01,101,Setpoint Pot Lower Limit,0.0 k?,,
//Benson House/101.AV251,,,,Benson House,FCU-G01,101,Setpoint Pot Upper Limit,6.0 k?,,
//Benson House/101.AV252,,,,Benson House,FCU-G01,101,Setpoint Adjustment Range,6.0 °C,,
//Benson House/101.AV253,,,,Benson House,FCU-G01,101,BACstat Timeout Period,60.0 min,,
//Benson House/101.AV254,,,,Benson House,FCU-G01,101,Maximum Valve Position During Boost,120.00%,,
//Benson House/101.AV255,,,,Benson House,FCU-G01,101,Maximum Fan Speed During Boost,100.00%,,
//Benson House/101.AV256,,,,Benson House,FCU-G01,101,Boost Mode Delay,30.0 min,,
//Benson House/101.AV261,,,,Benson House,FCU-G01,101,Occupied Dead Band,0.5 °C,,
//Benson House/101.AV262,,,,Benson House,FCU-G01,101,Unoccupied Dead Band,1.5 °C,,
//Benson House/101.AV263,,,,Benson House,FCU-G01,101,Occupied Valve Proportional Band,1.0 °C,,
//Benson House/101.AV264,,,,Benson House,FCU-G01,101,Unoccupied Valve Proportional Band,2.0 °C,,
//Benson House/101.AV265,,,,Benson House,FCU-G01,101,Occupied Fan Proportional Band,1.0 °C,,
//Benson House/101.AV266,,,,Benson House,FCU-G01,101,Unoccupied Fan Proportional Band,2.0 °C,,
//Benson House/101.AV267,,,,Benson House,FCU-G01,101,Boost Proportional Band,1.0 °C,,
//Benson House/101.AV3,,,,Benson House,FCU-G01,101,Heating Valve Position,33%,,
//Benson House/101.AV301,,,,Benson House,FCU-G01,101,Number of FCU Fans,4,,
//Benson House/101.AV302,,,,Benson House,FCU-G01,101,Filter Alarm Setpoint,1000.0 h,,
//Benson House/101.AV303,,,,Benson House,FCU-G01,101,Heating Valve Motor Time for Design Flow,71.0 s,,
//Benson House/101.AV304,,,,Benson House,FCU-G01,101,Cooling Valve Motor Time for Design Flow,40.0 s,,
//Benson House/101.AV305,,,,Benson House,FCU-G01,101,BACstat Keypress,0,,
//Benson House/101.AV306,,,,Benson House,FCU-G01,101,FCU Power Consumption kW,0.3 kW,,
//Benson House/101.AV308,,,,Benson House,FCU-G01,101,Controller MAC Address,1,,
//Benson House/101.AV309,,,,Benson House,FCU-G01,101,Master/Slave Poll Interval,60.0 s,,
//Benson House/101.AV310,,,,Benson House,FCU-G01,101,Auto-Save Interval,60 min,,
//Benson House/101.AV311,,,,Benson House,FCU-G01,101,Maximum Valve Drives Before Resync,200,,
//Benson House/101.AV312,,,,Benson House,FCU-G01,101,Control Loop Bias at Shutdown,50.00%,,
//Benson House/101.AV313,,,,Benson House,FCU-G01,101,Heating Valve Current Motor Time,36.4 s,,
//Benson House/101.AV314,,,,Benson House,FCU-G01,101,Cooling Valve Current Motor Time,0.0 s,,
//Benson House/101.AV316,,,,Benson House,FCU-G01,101,Filter Meter,0.00%,,
//Benson House/101.AV317,,,,Benson House,FCU-G01,101,Power Consumption at Design Air Volume,231.2 W,,
//Benson House/101.AV318,,,,Benson House,FCU-G01,101,Heating Control Boundary Value,25.00%,,
//Benson House/101.AV319,,,,Benson House,FCU-G01,101,Cooling Control Boundary Value,75.00%,,
//Benson House/101.AV320,,,,Benson House,FCU-G01,101,Primary Control Loop Integral Control Rate,0.3 %/m,,
//Benson House/101.AV333,,,,Benson House,FCU-G01,101,Heating Valve Flow Threshold,19.0 s,,
//Benson House/101.AV334,,,,Benson House,FCU-G01,101,Cooling Valve Flow Threshold,17.0 s,,
//Benson House/101.AV337,,,,Benson House,FCU-G01,101,Mains Voltage,230.0 V,,
//Benson House/101.AV338,,,,Benson House,FCU-G01,101,Mains Current Draw,1.4 A,,
//Benson House/101.AV339,,,,Benson House,FCU-G01,101,ComTool Keypress,0,,
//Benson House/101.AV340,,,,Benson House,FCU-G01,101,Heating Element High Limit,100.00%,,
//Benson House/101.AV343,,,,Benson House,FCU-G01,101,Heating Valve Motor Time for Full Stroke,90.0 s,,
//Benson House/101.AV344,,,,Benson House,FCU-G01,101,Cooling Valve Motor Time for Full Stroke,90.0 s,,
//Benson House/101.AV350,,,,Benson House,FCU-G01,101,Waterside Main Control Factor,33.40%,,
//Benson House/101.AV360,,,,Benson House,FCU-G01,101,Airside Main Control Factor,70.00%,,
//Benson House/101.AV373,,,,Benson House,FCU-G01,101,Heating Valve Motor Time for Boost Flow,74.5 s,,
//Benson House/101.AV374,,,,Benson House,FCU-G01,101,Cooling Valve Motor Time for Boost Flow,46.2 s,,
//Benson House/101.AV383,,,,Benson House,FCU-G01,101,Heating Valve Required Time,36.37 s,,
//Benson House/101.AV384,,,,Benson House,FCU-G01,101,Cooling Valve Required Time,0.00 s,,
//Benson House/101.AV4,,,,Benson House,FCU-G01,101,Cooling Valve Position,0%,,
//Benson House/101.AV406,,,,Benson House,FCU-G01,101,FCU Standby Power Consumption,49.2 W,,
//Benson House/101.AV5,,,,Benson House,FCU-G01,101,Current Total Air Volume,266.0 L/s,,
//Benson House/101.AV501,,,,Benson House,FCU-G01,101,FCU Power Consumption Total,3575.8 kWh,,
//Benson House/101.AV6,,,,Benson House,FCU-G01,101,EVO Current Fan Voltage,-2.0 V,,
//Benson House/101.AV601,,,,Benson House,FCU-G01,101,Lighting Setpoint,920 lx,,
//Benson House/101.AV7,,,,Benson House,FCU-G01,101,Fan 1 Current Air Volume,66.5 L/s,,
//Benson House/101.AV8,,,,Benson House,FCU-G01,101,Fan 2 Current Air Volume,66.5 L/s,,
//Benson House/101.AV9,,,,Benson House,FCU-G01,101,Fan 3 Current Air Volume,66.5 L/s,,
//Benson House/101.BI10,,,1,Benson House,FCU-G01,101,Multi-Function Input,ON,,
//Benson House/101.BI105,,,1,Benson House,FCU-G01,101,BACstat PIR,OFF,fault,
//Benson House/101.BI11,,,1,Benson House,FCU-G01,101,Mode Switch,ON,,
//Benson House/101.BO1,,,1,Benson House,FCU-G01,101,Heating Valve Open / Element Energise,OFF,private2,
//Benson House/101.BO2,,,1,Benson House,FCU-G01,101,Heating Valve Close,OFF,private2,
//Benson House/101.BO3,,,1,Benson House,FCU-G01,101,Cooling Valve Open,OFF,private2,
//Benson House/101.BO4,,,1,Benson House,FCU-G01,101,Cooling Valve Close,OFF,private2,
//Benson House/101.BO5,,,1,Benson House,FCU-G01,101,Standby Sentinal,OFF,polarity|private2,
//Benson House/101.BO6,,,1,Benson House,FCU-G01,101,Status Light,OFF,private2,
//Benson House/101.BT1,,,,Benson House,FCU-G01,101,FCU Run Timer,11093.0 Hours,,
//Benson House/101.BV1,,,,Benson House,FCU-G01,101,FCU Run Status,RUN,,
//Benson House/101.BV10,,,,Benson House,FCU-G01,101,Full Cooling Mode,OFF,,
//Benson House/101.BV11,,,,Benson House,FCU-G01,101,Neutral Mode,OFF,,
//Benson House/101.BV12,,,,Benson House,FCU-G01,101,Boost Mode,OFF,,
//Benson House/101.BV13,,,,Benson House,FCU-G01,101,BMS Run Signal,RUN,,
//Benson House/101.BV14,,,,Benson House,FCU-G01,101,BMS Occupancy Signal,OCCUPIED,,
//Benson House/101.BV15,,,,Benson House,FCU-G01,101,BACstat Control Signal,OFF,,
//Benson House/101.BV16,,,,Benson House,FCU-G01,101,Fabric Protection Active,OFF,,
//Benson House/101.BV2,,,,Benson House,FCU-G01,101,FCU Occupancy Status,OCCUPIED,,
//Benson House/101.BV20,,,,Benson House,FCU-G01,101,Master Alarm,ON,,
//Benson House/101.BV201,,,,Benson House,FCU-G01,101,Disable Variable Air Volume,OFF,,
//Benson House/101.BV202,,,,Benson House,FCU-G01,101,Optimum Start Enabled,OFF,,
//Benson House/101.BV203,,,,Benson House,FCU-G01,101,Integral Control Enabled,OFF,,
//Benson House/101.BV204,,,,Benson House,FCU-G01,101,BACstat Connected,OFF,,
//Benson House/101.BV205,,,,Benson House,FCU-G01,101,Room Stat Potentiometer Connected,ON,,
//Benson House/101.BV207,,,,Benson House,FCU-G01,101,Reset BACstat Setpoint on BMS Stop Signal,OFF,,
//Benson House/101.BV208,,,,Benson House,FCU-G01,101,Use PIR for Run Status,OFF,,
//Benson House/101.BV209,,,,Benson House,FCU-G01,101,Disable Boost Mode,ON,,
//Benson House/101.BV21,,,,Benson House,FCU-G01,101,Generic Alarm,OFF,,
//Benson House/101.BV210,,,,Benson House,FCU-G01,101,ECO Start Enabled,OFF,,
//Benson House/101.BV211,,,,Benson House,FCU-G01,101,ECO Start Triggered,OFF,,
//Benson House/101.BV22,,,,Benson House,FCU-G01,101,Filter Alarm,OFF,,
//Benson House/101.BV23,,,,Benson House,FCU-G01,101,Condensate Alarm,OFF,,
//Benson House/101.BV236,,,,Benson House,FCU-G01,101,Get Run Status from Master FCU,OFF,,
//Benson House/101.BV237,,,,Benson House,FCU-G01,101,Get Control Temperature from Master FCU,OFF,,
//Benson House/101.BV238,,,,Benson House,FCU-G01,101,Get Occupancy from Master FCU,OFF,,
//Benson House/101.BV239,,,,Benson House,FCU-G01,101,Get Setpoint from Master FCU,OFF,,
//Benson House/101.BV24,,,,Benson House,FCU-G01,101,Fan Failure Alarm,OFF,,
//Benson House/101.BV25,,,,Benson House,FCU-G01,101,Sensor Failure Alarm,OFF,,
//Benson House/101.BV26,,,,Benson House,FCU-G01,101,Heating Alarm,ON,,
//Benson House/101.BV27,,,,Benson House,FCU-G01,101,Cooling Alarm,OFF,,
//Benson House/101.BV28,,,,Benson House,FCU-G01,101,Element Cutout Alarm,OFF,,
